guid/image	labels	scores	boxes
/rob535-fall2021-final-project-data//est/	[2, 0, 2, 0, 0]	[0.9191575050354004, 0.3458319902420044, 0.14526528120040894, 0.12139725685119629, 0.08669885993003845]	[[0.3141404092311859, 0.49707162380218506, 0.5832831859588623, 0.7110607624053955], [0.3588915169239044, 0.5910944938659668, 0.400322824716568, 0.626984715461731], [0.37161460518836975, 0.5095840692520142, 0.4122590124607086, 0.5347722768783569], [0.3490048944950104, 0.601533055305481, 0.3833511173725128, 0.6292476654052734], [0.4539196193218231, 0.4174080491065979, 0.4775064289569855, 0.43082916736602783]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 14, 5]	[0.6299985647201538, 0.4205692410469055, 0.28500187397003174, 0.25898486375808716, 0.14270645380020142]	[[0.33017754554748535, 0.4668535590171814, 0.584678590297699, 0.6471685767173767], [0.33229535818099976, 0.46476444602012634, 0.5886574983596802, 0.6500564217567444], [0.367060124874115, 0.5498876571655273, 0.4043222665786743, 0.5751020908355713], [0.48839646577835083, 0.7410796880722046, 0.5959365963935852, 0.9955415725708008], [0.33229535818099976, 0.46476444602012634, 0.5886574983596802, 0.6500564217567444]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 0, 14]	[0.8903472423553467, 0.21672043204307556, 0.11982342600822449, 0.0960148274898529, 0.09290048480033875]	[[0.3269103467464447, 0.4929261803627014, 0.5723799467086792, 0.6782222390174866], [0.3698313534259796, 0.5970869064331055, 0.4057585299015045, 0.6266813278198242], [0.3677455484867096, 0.5517392158508301, 0.4026254713535309, 0.5777407884597778], [0.37986472249031067, 0.8172613978385925, 0.4058537781238556, 0.832444965839386], [0.471953809261322, 0.009720221161842346, 0.9867528080940247, 0.29699063301086426]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 2, 0]	[0.932753324508667, 0.33490052819252014, 0.12539294362068176, 0.07303348183631897, 0.059645652770996094]	[[0.3122466504573822, 0.5234924554824829, 0.5813295841217041, 0.7149022817611694], [0.3588158190250397, 0.5924937725067139, 0.3960253894329071, 0.6271251440048218], [0.35503557324409485, 0.6051390171051025, 0.38488712906837463, 0.6298333406448364], [0.4327576160430908, 0.7139025926589966, 0.46610385179519653, 0.7421000003814697], [0.3693622052669525, 0.6632304787635803, 0.40442338585853577, 0.6859754920005798]]
/rob535-fall2021-final-project-data//est/	[5, 7, 0, 2, 6]	[0.695014476776123, 0.38025856018066406, 0.36152851581573486, 0.31413376331329346, 0.15704461932182312]	[[0.3366614282131195, 0.47623950242996216, 0.5852906703948975, 0.6481010317802429], [0.3366614282131195, 0.47623950242996216, 0.5852906703948975, 0.6481010317802429], [0.3681015968322754, 0.552962601184845, 0.41086578369140625, 0.5783397555351257], [0.3373313844203949, 0.4767075181007385, 0.577448844909668, 0.6491689085960388], [0.3409354090690613, 0.48053330183029175, 0.564558207988739, 0.6384932398796082]]
/rob535-fall2021-final-project-data//est/	[2, 5, 0, 6, 0]	[0.7179387211799622, 0.4126729369163513, 0.3685203194618225, 0.3434266746044159, 0.12030494213104248]	[[0.3196893334388733, 0.5261098146438599, 0.5790025591850281, 0.6940582990646362], [0.3180251717567444, 0.5288381576538086, 0.5696115493774414, 0.6878339052200317], [0.3690728545188904, 0.608733057975769, 0.39833682775497437, 0.6299058198928833], [0.3180251717567444, 0.5288381576538086, 0.5696115493774414, 0.6878339052200317], [0.35882118344306946, 0.6097917556762695, 0.382433146238327, 0.6265897750854492]]
/rob535-fall2021-final-project-data//est/	[2, 7, 2, 33, 2]	[0.2720995545387268, 0.2064296305179596, 0.13434571027755737, 0.10022786259651184, 0.09607100486755371]	[[0.37206411361694336, 0.5949347615242004, 0.4725525975227356, 0.7138643860816956], [0.3652893602848053, 0.6038936376571655, 0.4660559594631195, 0.7202329635620117], [0.40736252069473267, 0.45131781697273254, 0.43287181854248047, 0.4774846136569977], [0.0, 0.2021048367023468, 0.04124641418457031, 0.2927621901035309], [0.4060057997703552, 0.48259738087654114, 0.4306413531303406, 0.5083873867988586]]
/rob535-fall2021-final-project-data//est/	[7, 2, 0, 0, 5]	[0.563488245010376, 0.30912041664123535, 0.22596609592437744, 0.20100301504135132, 0.17144861817359924]	[[0.30746152997016907, 0.48952966928482056, 0.5863552093505859, 0.6731162667274475], [0.30746152997016907, 0.48952966928482056, 0.5863552093505859, 0.6731162667274475], [0.35906392335891724, 0.5947243571281433, 0.40504127740859985, 0.6282176375389099], [0.36377963423728943, 0.5523713231086731, 0.40256091952323914, 0.5797351002693176], [0.3203252851963043, 0.49768173694610596, 0.5667506456375122, 0.6747175455093384]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 7, 0]	[0.7855064272880554, 0.26368749141693115, 0.21605011820793152, 0.20094093680381775, 0.19751811027526855]	[[0.2768020033836365, 0.4161634147167206, 0.6053726077079773, 0.6361260414123535], [0.3767707943916321, 0.34687185287475586, 0.39976418018341064, 0.35616034269332886], [0.3877878487110138, 0.31725552678108215, 0.4033481776714325, 0.3255416452884674], [0.2768020033836365, 0.4161634147167206, 0.6053726077079773, 0.6361260414123535], [0.3729800581932068, 0.4006634056568146, 0.4003795385360718, 0.41228917241096497]]
/rob535-fall2021-final-project-data//est/	[14, 2, 14, 0, 0]	[0.05448845028877258, 0.0521392822265625, 0.04923334717750549, 0.04596796631813049, 0.04236805438995361]	[[0.39148595929145813, 0.0, 1.0, 0.4213259816169739], [0.4155721962451935, 0.8665521144866943, 0.4282759130001068, 0.8814908266067505], [0.14609012007713318, 0.0037762820720672607, 0.9678295850753784, 0.5687118768692017], [0.21952246129512787, 0.9557855129241943, 0.27138063311576843, 0.9767856597900391], [0.4413367807865143, 0.8177729845046997, 0.46099957823753357, 0.8315979242324829]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 6, 7]	[0.9253885746002197, 0.5427284836769104, 0.37474992871284485, 0.36689019203186035, 0.19692301750183105]	[[0.2997083365917206, 0.5306405425071716, 0.6440521478652954, 0.7447378039360046], [0.37359675765037537, 0.5979194641113281, 0.41583845019340515, 0.6379450559616089], [0.36006060242652893, 0.6428295969963074, 0.41522863507270813, 0.683538019657135], [0.2922820746898651, 0.5116656422615051, 0.642988920211792, 0.7448405623435974], [0.29288211464881897, 0.5328261256217957, 0.6592659950256348, 0.7438580393791199]]
/rob535-fall2021-final-project-data//est/	[2, 2, 0, 0, 0]	[0.946488082408905, 0.18725517392158508, 0.14697927236557007, 0.1447123885154724, 0.1413796842098236]	[[0.28289368748664856, 0.5129439830780029, 0.6219315528869629, 0.7405648231506348], [0.3926512598991394, 0.41719916462898254, 0.40909308195114136, 0.4343990981578827], [0.36278608441352844, 0.6092118620872498, 0.4052759110927582, 0.641746461391449], [0.3479616940021515, 0.6055728197097778, 0.37607142329216003, 0.6367671489715576], [0.3650355935096741, 0.638249933719635, 0.4064112901687622, 0.6700055003166199]]
/rob535-fall2021-final-project-data//est/	[2, 6, 7, 0, 0]	[0.7677727937698364, 0.490073025226593, 0.2134723961353302, 0.15230119228363037, 0.13370099663734436]	[[0.28077220916748047, 0.48652568459510803, 0.6084684729576111, 0.7059832215309143], [0.27682456374168396, 0.48954176902770996, 0.611344575881958, 0.7039273977279663], [0.28077220916748047, 0.48652568459510803, 0.6084684729576111, 0.7059832215309143], [0.3263227939605713, 0.5968469977378845, 0.3838934898376465, 0.6337565779685974], [0.35592886805534363, 0.5846505761146545, 0.41106924414634705, 0.6195606589317322]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 0, 2]	[0.9160009622573853, 0.13027089834213257, 0.1182686984539032, 0.08242473006248474, 0.0785687267780304]	[[0.30843856930732727, 0.5206762552261353, 0.5724292993545532, 0.7173593044281006], [0.36621296405792236, 0.6064906716346741, 0.40246903896331787, 0.6366602778434753], [0.3525678217411041, 0.6088827848434448, 0.38264939188957214, 0.6336177587509155], [0.33905190229415894, 0.6561004519462585, 0.38443368673324585, 0.6825470328330994], [0.41590604186058044, 0.6897160410881042, 0.4601496756076813, 0.7118085026741028]]
/rob535-fall2021-final-project-data//est/	[2, 6, 0, 2, 0]	[0.904512882232666, 0.3578200936317444, 0.3315778970718384, 0.17602768540382385, 0.17342904210090637]	[[0.2909097671508789, 0.382398396730423, 0.6150040030479431, 0.6038976311683655], [0.2880658507347107, 0.3828299343585968, 0.6233525276184082, 0.6026498675346375], [0.3608505427837372, 0.4849247336387634, 0.4039768874645233, 0.5177214741706848], [0.3914042115211487, 0.2988344728946686, 0.4079554080963135, 0.3108428418636322], [0.36350375413894653, 0.45109012722969055, 0.4019961357116699, 0.4793263375759125]]
/rob535-fall2021-final-project-data//est/	[2, 7, 5, 6, 6]	[0.505751371383667, 0.4739013612270355, 0.2575465738773346, 0.05022764205932617, 0.04392075538635254]	[[0.39261648058891296, 0.5119320750236511, 0.5062053799629211, 0.5872538685798645], [0.39261648058891296, 0.5119320750236511, 0.5062053799629211, 0.5872538685798645], [0.39261648058891296, 0.5119320750236511, 0.5062053799629211, 0.5872538685798645], [0.33447688817977905, 0.5241597890853882, 0.4635186791419983, 0.7666454315185547], [0.3796215057373047, 0.5713717341423035, 0.5420789122581482, 0.824338972568512]]
/rob535-fall2021-final-project-data//est/	[5, 6, 0, 2, 0]	[0.7760381698608398, 0.6511529684066772, 0.5039417147636414, 0.4291767477989197, 0.22609040141105652]	[[0.33647412061691284, 0.47444266080856323, 0.5803967714309692, 0.6430025696754456], [0.3326554000377655, 0.47653019428253174, 0.572905957698822, 0.6383252143859863], [0.3771264851093292, 0.5571284890174866, 0.4097503125667572, 0.5778180956840515], [0.32945144176483154, 0.47311508655548096, 0.5708122849464417, 0.6421769857406616], [0.39565467834472656, 0.48911887407302856, 0.4238395094871521, 0.5060349702835083]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 0, 0]	[0.825285792350769, 0.3386306166648865, 0.10284951329231262, 0.09503614902496338, 0.087471604347229]	[[0.44817933440208435, 0.08980776369571686, 0.5406321287155151, 0.21044494211673737], [0.44817933440208435, 0.08980776369571686, 0.5406321287155151, 0.21044494211673737], [0.47996142506599426, 0.08052228391170502, 0.5189486145973206, 0.10784466564655304], [0.446438729763031, 0.13319732248783112, 0.459868848323822, 0.14851497113704681], [0.458962082862854, 0.09627403318881989, 0.4746118187904358, 0.10730515420436859]]
/rob535-fall2021-final-project-data//est/	[6, 0, 0, 0, 0]	[0.8513005375862122, 0.1600666046142578, 0.08561363816261292, 0.07858207821846008, 0.0756857693195343]	[[0.2887740731239319, 0.45060575008392334, 0.5972421765327454, 0.6639057397842407], [0.36241042613983154, 0.5406472086906433, 0.4029538631439209, 0.5753682255744934], [0.36752617359161377, 0.5047743916511536, 0.40395426750183105, 0.5333430171012878], [0.3478437066078186, 0.5520526766777039, 0.38263702392578125, 0.5869876742362976], [0.35404130816459656, 0.5059239268302917, 0.3831271827220917, 0.5264479517936707]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 37, 2]	[0.7945945262908936, 0.17828017473220825, 0.16074761748313904, 0.1407291293144226, 0.137975811958313]	[[0.30158278346061707, 0.42610231041908264, 0.6026425361633301, 0.6255145072937012], [0.3000490367412567, 0.4109535217285156, 0.6075922250747681, 0.6218783855438232], [0.45346495509147644, 0.8234281539916992, 0.4840998947620392, 0.8393857479095459], [0.003019940108060837, 0.8189401626586914, 0.060881566256284714, 0.9408097267150879], [0.24831336736679077, 0.007965296506881714, 0.7981896996498108, 0.5610384941101074]]
/rob535-fall2021-final-project-data//est/	[2, 0, 7, 0, 84]	[0.9011880159378052, 0.126029372215271, 0.08836543560028076, 0.07890447974205017, 0.06626617908477783]	[[0.3139311671257019, 0.5233526229858398, 0.5800526738166809, 0.703378438949585], [0.36873894929885864, 0.5998412370681763, 0.39957207441329956, 0.6220948696136475], [0.3139311671257019, 0.5233526229858398, 0.5800526738166809, 0.703378438949585], [0.3511689603328705, 0.6028937101364136, 0.37862470746040344, 0.6236686706542969], [0.13612888753414154, 0.7308281660079956, 0.15845884382724762, 0.7437903881072998]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 0, 0]	[0.5265840888023376, 0.24762043356895447, 0.2017059028148651, 0.18582838773727417, 0.1725940704345703]	[[0.33330073952674866, 0.5022050142288208, 0.5468711853027344, 0.6512018442153931], [0.33330073952674866, 0.5022050142288208, 0.5468711853027344, 0.6512018442153931], [0.3680185079574585, 0.5931274890899658, 0.40516161918640137, 0.6220536231994629], [0.3751257359981537, 0.5608981847763062, 0.40499892830848694, 0.5862165689468384], [0.3879530727863312, 0.4548146426677704, 0.4217813313007355, 0.4720555245876312]]
/rob535-fall2021-final-project-data//est/	[2, 0, 14, 0, 0]	[0.8852740526199341, 0.31892767548561096, 0.14881905913352966, 0.14393383264541626, 0.09397515654563904]	[[0.32356855273246765, 0.4950791001319885, 0.576615571975708, 0.6771276593208313], [0.36798548698425293, 0.5957478880882263, 0.4037618041038513, 0.6256458163261414], [0.44359105825424194, 0.005728185176849365, 0.9880624413490295, 0.4600973427295685], [0.3666762411594391, 0.5499230027198792, 0.40189167857170105, 0.57608562707901], [0.34175294637680054, 0.6009336113929749, 0.3735548257827759, 0.6215222477912903]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 0, 0]	[0.9171928763389587, 0.14699015021324158, 0.1028815507888794, 0.07540014386177063, 0.06623965501785278]	[[0.3091607689857483, 0.49334338307380676, 0.5839667916297913, 0.6963380575180054], [0.3596855401992798, 0.5934030413627625, 0.40255844593048096, 0.6246197819709778], [0.3451074957847595, 0.6064261198043823, 0.38541990518569946, 0.6325303316116333], [0.3641964793205261, 0.5597869753837585, 0.40593284368515015, 0.584048330783844], [0.28399577736854553, 0.001121819019317627, 0.983381986618042, 0.15000557899475098]]
/rob535-fall2021-final-project-data//est/	[2, 2, 0, 6, 0]	[0.10047405958175659, 0.08706161379814148, 0.07750487327575684, 0.06519737839698792, 0.0645700991153717]	[[0.350460410118103, 0.4100772440433502, 0.36829012632369995, 0.42759594321250916], [0.3589112460613251, 0.2933974266052246, 0.3776363432407379, 0.30878663063049316], [0.22505998611450195, 0.2413392812013626, 0.27491533756256104, 0.2584780156612396], [0.3773040771484375, 0.45164772868156433, 0.5073927044868469, 0.8280966281890869], [0.4950059950351715, 0.7194727659225464, 0.5202249884605408, 0.7405815124511719]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 0, 6]	[0.9322595596313477, 0.15689101815223694, 0.14713388681411743, 0.09053665399551392, 0.08722975850105286]	[[0.27880948781967163, 0.3787989914417267, 0.6014682054519653, 0.5947753190994263], [0.2836397886276245, 0.18108294904232025, 0.308721125125885, 0.19270460307598114], [0.32287004590034485, 0.4915461540222168, 0.3790576159954071, 0.5273319482803345], [0.32956114411354065, 0.4415411353111267, 0.3784075081348419, 0.4738837480545044], [0.2703603506088257, 0.38899436593055725, 0.5957426428794861, 0.5925902128219604]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 0, 0]	[0.9396809339523315, 0.3989065885543823, 0.3888920843601227, 0.3075897991657257, 0.13801309466362]	[[0.30895963311195374, 0.5356378555297852, 0.6278084516525269, 0.7633558511734009], [0.30081820487976074, 0.5389696955680847, 0.6315122246742249, 0.7534353137016296], [0.37291714549064636, 0.6126542687416077, 0.4088064134120941, 0.6426575779914856], [0.3635578453540802, 0.6446633338928223, 0.41141095757484436, 0.6766433715820312], [0.43776023387908936, 0.722942054271698, 0.4895148277282715, 0.7478370070457458]]
/rob535-fall2021-final-project-data//est/	[2, 7, 0, 0, 12]	[0.838461697101593, 0.358080118894577, 0.21427199244499207, 0.19007861614227295, 0.15379953384399414]	[[0.30872642993927, 0.5470337271690369, 0.6111699342727661, 0.74555903673172], [0.30872642993927, 0.5470337271690369, 0.6111699342727661, 0.74555903673172], [0.3609478175640106, 0.6510984301567078, 0.40569373965263367, 0.6818984150886536], [0.3780609667301178, 0.6116936206817627, 0.4127315580844879, 0.6383178234100342], [0.33381104469299316, 0.750450074672699, 0.3819924592971802, 0.7833545804023743]]
/rob535-fall2021-final-project-data//est/	[2, 6, 2, 0, 0]	[0.28878673911094666, 0.15369659662246704, 0.12954917550086975, 0.0934862494468689, 0.08307233452796936]	[[0.4560593068599701, 0.5408702492713928, 0.5164051055908203, 0.6051352620124817], [0.4893241226673126, 0.7350471019744873, 0.6462258696556091, 1.0], [0.46831005811691284, 0.573513388633728, 0.5120436549186707, 0.6158212423324585], [0.49516576528549194, 0.6708102822303772, 0.5159168839454651, 0.6813936829566956], [0.46831005811691284, 0.573513388633728, 0.5120436549186707, 0.6158212423324585]]
/rob535-fall2021-final-project-data//est/	[2, 0, 0, 6, 0]	[0.7290754914283752, 0.421205997467041, 0.19031184911727905, 0.1706160008907318, 0.10075205564498901]	[[0.3416338562965393, 0.5194970965385437, 0.6127662062644958, 0.7177253365516663], [0.3790014982223511, 0.596339762210846, 0.41764605045318604, 0.6347724795341492], [0.3741855025291443, 0.6478261351585388, 0.4169765114784241, 0.6805747151374817], [0.3357674777507782, 0.5184580683708191, 0.6083023548126221, 0.7181937098503113], [0.4331836998462677, 0.5993310809135437, 0.46232613921165466, 0.6405327916145325]]
/rob535-fall2021-final-project-data//est/	[2, 0, 2, 40, 0]	[0.302658349275589, 0.18792787194252014, 0.17355197668075562, 0.11217570304870605, 0.08408236503601074]	[[0.46613609790802, 0.6340555548667908, 0.5014030933380127, 0.6746419072151184], [0.4380573630332947, 0.6443334221839905, 0.479475736618042, 0.6763109564781189], [0.4380573630332947, 0.6443334221839905, 0.479475736618042, 0.6763109564781189], [0.46613609790802, 0.6340555548667908, 0.5014030933380127, 0.6746419072151184], [0.383543461561203, 0.6572585105895996, 0.4554358422756195, 0.6808850765228271]]
/rob535-fall2021-final-project-data//est/	[6, 2, 0, 0, 7]	[0.7472133636474609, 0.2823944091796875, 0.13777408003807068, 0.11321115493774414, 0.10597822070121765]	[[0.2773318290710449, 0.4300921559333801, 0.6120273470878601, 0.6366592049598694], [0.2691952884197235, 0.42947015166282654, 0.6018842458724976, 0.6520876884460449], [0.3374563455581665, 0.5438472628593445, 0.38036012649536133, 0.5771657824516296], [0.34660056233406067, 0.4991191625595093, 0.38140347599983215, 0.5304102897644043], [0.2691952884197235, 0.42947015166282654, 0.6018842458724976, 0.6520876884460449]]
